primary_threshold,secondary_threshold,macro_f1,macro_precision,macro_recall,micro_f1,micro_precision,micro_recall,accuracy,sample_f1,sample_precision,sample_recall,avg_assignments,n_predictions,n_samples_with_predictions,n_correct_predictions
0.20000000000000004,0.5499999999999999,0.3622368172523051,0.39072879192635573,0.41133279109658194,0.44510308608272886,0.4034880980438369,0.4962894248608534,0.4962894248608534,0.4962894248608534,0.4962894248608534,0.4962894248608534,1.229997680890538,17248,12655,8560
0.20000000000000004,0.5999999999999999,0.3263780162390619,0.34758696209265066,0.4157117541161438,0.4111608556053,0.33701534583734893,0.5271335807050093,0.5271335807050093,0.5271335807050093,0.5271335807050093,0.5271335807050093,1.5641233766233766,17248,14921,9092
0.20000000000000004,0.6499999999999999,0.2643061307471627,0.30552774131267796,0.3661213407031312,0.34553173863518694,0.2687759770596385,0.48365027829313545,0.48365027829313545,0.48365027829313545,0.48365027829313545,0.48365027829313545,1.7994550092764379,17248,16260,8342
0.20000000000000004,0.7,0.19564929354733848,0.27297460968066095,0.2919363786397785,0.26815554284135973,0.20323574269565478,0.3940166975881262,0.3940166975881262,0.3940166975881262,0.3940166975881262,0.3940166975881262,1.9387175324675325,17248,16960,6796
0.20000000000000004,0.7499999999999999,0.13073926223630564,0.26774621541684146,0.21664419063613594,0.1878615512604717,0.14097389587386394,0.2814819109461967,0.2814819109461967,0.2814819109461967,0.2814819109461967,0.2814819109461967,1.9966952690166977,17248,17199,4855
0.20000000000000004,0.7999999999999998,0.07638323193918953,0.28322877945596286,0.1626277490455085,0.1267299289742652,0.09485664889785334,0.1908627087198516,0.1908627087198516,0.1908627087198516,0.1908627087198516,0.1908627087198516,2.0121173469387754,17248,17247,3292
0.25000000000000006,0.3,0.10230098058147707,0.614035178339571,0.05890201888666896,0.11592021076401957,0.7979274611398963,0.0625,0.0625,0.0625,0.0625,0.0625,0.07832792207792208,17248,1233,1078
0.25000000000000006,0.35,0.18275870993357074,0.5836336518066131,0.11657672851882961,0.21202077665100172,0.722278395685878,0.12424628942486085,0.12424628942486085,0.12424628942486085,0.12424628942486085,0.12424628942486085,0.1720199443413729,17248,2486,2143
0.25000000000000006,0.39999999999999997,0.2712273653543614,0.5442965716371496,0.19680896951771382,0.3209565217391304,0.6416898470097357,0.21399582560296845,0.21399582560296845,0.21399582560296845,0.21399582560296845,0.21399582560296845,0.3334879406307978,17248,4437,3691
0.25000000000000006,0.44999999999999996,0.33963373424381754,0.4939076824575495,0.285539357638849,0.4044109538687741,0.5524756452746812,0.31893552875695735,0.31893552875695735,0.31893552875695735,0.31893552875695735,0.31893552875695735,0.577284322820037,17248,6955,5501
0.25000000000000006,0.49999999999999994,0.3732987086501212,0.44221745766128573,0.36639264008929123,0.44749249892841836,0.47411444141689374,0.4237012987012987,0.4237012987012987,0.4237012987012987,0.4237012987012987,0.4237012987012987,0.8936688311688312,17248,9794,7308
0.25000000000000006,0.5499999999999999,0.369941684944245,0.39459125459164396,0.42137805300739234,0.4504448742746615,0.40567659218655644,0.506319573283859,0.506319573283859,0.506319573283859,0.506319573283859,0.506319573283859,1.2480867346938775,17248,12655,8733
0.25000000000000006,0.5999999999999999,0.33664084077197337,0.35592006889139405,0.4276707779406197,0.41776840026037576,0.3408416657510164,0.5395408163265306,0.5395408163265306,0.5395408163265306,0.5395408163265306,0.5395408163265306,1.5829661410018554,17248,14921,9306
0.25000000000000006,0.6499999999999999,0.2772292531646703,0.3180421580998112,0.3791800086784575,0.35294359649483686,0.2735127207804629,0.49739100185528756,0.49739100185528756,0.49739100185528756,0.49739100185528756,0.49739100185528756,1.8185296846011132,17248,16260,8579
0.25000000000000006,0.7,0.21163889283070278,0.291763446023262,0.30515951764818844,0.27583503214677746,0.20836294716891732,0.4079313543599258,0.4079313543599258,0.4079313543599258,0.4079313543599258,0.4079313543599258,1.9577922077922079,17248,16960,7036
0.25000000000000006,0.7499999999999999,0.15021621935762697,0.29624370310028103,0.2299549298372662,0.1959781605659797,0.14660032213529683,0.2955125231910946,0.2955125231910946,0.2955125231910946,0.2955125231910946,0.2955125231910946,2.015769944341373,17248,17199,5097
0.25000000000000006,0.7999999999999998,0.09870057673033586,0.3231547420707307,0.17593848824663877,0.13518993152519032,0.10087343723240282,0.20489332096474955,0.20489332096474955,0.20489332096474955,0.20489332096474955,0.20489332096474955,2.031192022263451,17248,17247,3534
0.30000000000000004,0.35,0.1837028948670352,0.5779428057736552,0.11767858712607358,0.2129693505469597,0.7094550229809586,0.12528988868274582,0.12528988868274582,0.12528988868274582,0.12528988868274582,0.12528988868274582,0.17660018552875695,17248,2486,2161
0.30000000000000004,0.39999999999999997,0.27438210484410647,0.5395164220842245,0.20119196178040696,0.32367899319024224,0.6306684581793752,0.21770640074211503,0.21770640074211503,0.21770640074211503,0.21770640074211503,0.21770640074211503,0.3451994434137291,17248,4437,3755
0.30000000000000004,0.44999999999999996,0.3445082636775325,0.48905561284476406,0.29416009801947285,0.4081307293742527,0.5441020191285866,0.32653061224489793,0.32653061224489793,0.32653061224489793,0.32653061224489793,0.32653061224489793,0.6001275510204082,17248,6955,5632
