primary_threshold,secondary_threshold,macro_f1,macro_precision,macro_recall,avg_assignments,n_predictions
0.5000000000000001,0.5999999999999999,0.42126151632019315,0.3329813855023513,0.7460575139146568,2.8996985157699444,17248
0.5000000000000001,0.6499999999999999,0.4097235245000885,0.30556291556484244,0.7771335807050093,3.220953153988868,17248
0.5000000000000001,0.7,0.3764416836252104,0.2682495242992453,0.7535366419294991,3.3804499072356213,17248
0.5000000000000001,0.7499999999999999,0.3236085048991746,0.22245194390345066,0.6863404452690167,3.4411525974025974,17248
0.5000000000000001,0.7999999999999998,0.2677063713184695,0.17856762881377838,0.6061572356215214,3.4567486085343226,17248
0.5500000000000002,0.5999999999999999,0.3935787605728877,0.3093439951246142,0.7833951762523191,3.84096706864564,17248
0.5500000000000002,0.6499999999999999,0.3820466797350732,0.2793844990893839,0.8387639146567718,4.339981447124305,17248
0.5500000000000002,0.7,0.361537925448916,0.2505290927370554,0.8417787569573284,4.5418019480519485,17248
0.5500000000000002,0.7499999999999999,0.3280688532962454,0.21920569893148126,0.8036873840445269,4.609461966604823,17248
0.5500000000000002,0.7999999999999998,0.2859770165615515,0.18574867976017637,0.7437384044526901,4.6254058441558445,17248
0.6000000000000002,0.6499999999999999,0.3397489514056311,0.24543083233391738,0.8843923933209648,5.9184833024118735,17248
0.6000000000000002,0.7,0.32023530177101267,0.2154065033779988,0.9093807977736549,6.298759276437848,17248
0.6000000000000002,0.7499999999999999,0.30047460730992664,0.19381474241151064,0.8952922077922078,6.392741187384044,17248
0.6000000000000002,0.7999999999999998,0.2772611078950092,0.1745721305940564,0.8632305194805194,6.410946196660483,17248
0.6500000000000001,0.7,0.2660995349385478,0.17494932424408477,0.9488636363636364,8.553571428571429,17248
0.6500000000000001,0.7499999999999999,0.2500023445222548,0.15517443630950398,0.952284322820037,8.794700834879407,17248
0.6500000000000001,0.7999999999999998,0.23751820417947098,0.14383488628494867,0.9372680890538033,8.826530612244898,17248
0.7000000000000002,0.7499999999999999,0.19548568063059085,0.11666933668504183,0.9809253246753247,11.469329777365491,17248
0.7000000000000002,0.7999999999999998,0.18743136212118122,0.10829878116728937,0.9781423933209648,11.625869666048237,17248
